type,bodyId,hemilineage,side,nt,sign,from_legs,to_legs,interleg_syn,leg_out_syn,mn_direct_syn,total_out_syn,frac_interleg,contra_syn,ipsi_syn,diag_syn,top_pairs,class
IN00A032,805958,00A,M,gaba,-1,lh|rh,rf|lf|lh,70.7,81.0,0.0,1045,0.068,7.5,29.1,34.0,lh->rf lh->lf rh->rf,both
IN06B019,801459,06B,L,gaba,-1,lh|lf|rh|rf,rm|lm|lh,70.6,83.0,0.0,3238,0.022,11.9,29.9,28.9,,both
IN13B022,803561,13B,R,gaba,-1,lh,lh,70.6,1245.0,0.0,1435,0.049,4.8,65.6,0.2,lm->lh lh->lm,ipsilateral
IN23B018,800179,23B,R,acetylcholine,1,rm,rm,70.5,863.0,100.0,1906,0.037,5.0,65.5,0.0,rm->rh,ipsilateral
IN17A056,806864,17A,R,acetylcholine,1,rh|rf,rh,70.5,149.0,0.0,687,0.103,5.5,57.5,7.5,rf->rh rh->lf,ipsilateral
IN01A075,903836,01A,R,acetylcholine,1,lf,lf,70.5,253.0,67.0,253,0.279,24.9,0.0,45.6,rm->lf rf->lf rh->lf,both
IN06B042,803860,06B,L,gaba,-1,rh,rm,70.4,71.0,0.0,1734,0.041,8.4,53.3,8.7,rh->rm rh->lh,ipsilateral
IN08A048,804539,08A,L,glutamate,-1,lh|lm,lh,70.4,402.0,123.0,445,0.158,0.0,70.4,0.0,lm->lh,ipsilateral
IN01B052,808777,01B,R,gaba,-1,rh,rh,70.4,382.0,0.0,641,0.11,42.1,27.4,0.9,rh->lh rh->rm,both
IN13A017,808960,13A,R,gaba,-1,rm,rm,70.4,986.0,157.0,1183,0.06,0.0,70.4,0.0,rf->rm rm->rh rh->rm,ipsilateral
IN00A010,801689,00A,M,gaba,-1,lm|lh,lf,70.3,80.0,0.0,1998,0.035,5.7,48.1,16.5,lm->lf lh->lf rm->lf,both
IN06B063,802362,06B,R,gaba,-1,rh|rm|lm,lh|rh|lm,70.3,83.0,0.0,673,0.104,23.4,20.5,26.4,rh->lh rm->lh rh->lm,both
IN12A053_c,803478,12A,L,acetylcholine,1,lh|lm|lf,lm|lh|rm|rh,70.3,92.0,5.0,840,0.084,12.4,37.3,20.6,lh->lm lh->rm lh->rh,both
IN01A056,806164,01A,L,acetylcholine,1,rm,rm,70.3,798.0,57.0,871,0.081,21.4,48.2,0.7,rm->rf lm->rm rf->rm,both
