[2026-09-17 05:43:00] network_view:122 Initialized network view at /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000
[2026-09-17 05:43:00] logging_utils:23 epe not in /home/nate/code/fly-afterlife/flyvis_data/results/flow/0000/000/validation, but 'loss' is. Falling back to 'loss'. You can rerun the ensemble validation to make appropriate recordings of the losses.
[2026-09-17 05:43:10] network:222 Initialized network with NumberOfParams(free=734, fixed=2959) parameters.
[2026-09-17 05:43:10] chkpt_utils:36 Recovered network state.
her readouts: pC1 10, vpoEN 4, ORN_DA1 126, JO 1104, DNa02 1/1
his readouts: pC1 156, pIP10 2, mAL 159, LC10a 275, ORN_VA1v 15/73
his DNa02 rest offset +0.00/chunk
pace baselines per chunk: his leg MN 374, her DN 26
touch reflex: leg-MN asymmetry (R-L)/(R+L) with left bristles -0.099, right +0.050 -> gain 80 deg per unit asymmetry
t=170.0s  him (-1.87,-0.48)  -1753  her (+1.71,-0.30)  dist 3.58  pC1 417 pIP10 0 LC10a 0 | her pC1 19 vpoEN 0 | contacts 0 songs 0 | pace him 0.42 her 0.15 m/s  (547s)
t=175.0s  him (-1.19,-0.16)  -1784  her (+1.37,+0.37)  dist 2.62  pC1 0 pIP10 2 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (565s)
t=180.0s  him (-0.93,-0.63)  -1924  her (+1.17,+1.09)  dist 2.71  pC1 1 pIP10 2 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.14 her 0.15 m/s  (581s)
t=185.0s  him (-0.91,-1.35)  -1883  her (+0.83,+1.75)  dist 3.56  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (597s)
t=190.0s  him (-0.85,-1.92)  -1798  her (+0.17,+1.87)  dist 3.93  pC1 10 pIP10 1 LC10a 0 | her pC1 23 vpoEN 0 | contacts 0 songs 0 | pace him 0.19 her 0.15 m/s  (613s)
t=195.0s  him (-0.28,-1.92)  -1835  her (-0.58,+1.87)  dist 3.80  pC1 170 pIP10 0 LC10a 0 | her pC1 5 vpoEN 0 | contacts 0 songs 0 | pace him 0.26 her 0.15 m/s  (630s)
t=200.0s  him (-1.36,-1.92)  -1980  her (-1.25,+1.56)  dist 3.47  pC1 453 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.45 her 0.15 m/s  (649s)
t=205.0s  him (-1.92,-1.14)  -2049  her (-1.88,+1.19)  dist 2.33  pC1 403 pIP10 2 LC10a 0 | her pC1 4 vpoEN 0 | contacts 0 songs 0 | pace him 0.43 her 0.15 m/s  (664s)
t=210.0s  him (-1.92,+0.58)  -2071  her (-1.65,+0.49)  dist 0.29  pC1 260 pIP10 0 LC10a 0 | her pC1 8 vpoEN 0 | contacts 0 songs 0 | pace him 0.34 her 0.15 m/s  (682s)
t=215.0s  him (-1.84,+1.56)  -2075  her (-1.27,-0.16)  dist 1.81  pC1 32 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.20 her 0.15 m/s  (699s)
t=220.0s  him (-0.80,+1.89)  -2190  her (-0.75,-0.69)  dist 2.58  pC1 188 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.28 her 0.15 m/s  (714s)
t=225.0s  him (-0.82,+1.36)  -2332  her (-0.24,-1.23)  dist 2.66  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.14 her 0.15 m/s  (733s)
t=230.0s  him (-1.24,+0.80)  -2288  her (+0.36,-1.67)  dist 2.94  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (750s)
t=235.0s  him (-1.40,+0.27)  -2237  her (+0.93,-1.83)  dist 3.14  pC1 14 pIP10 0 LC10a 0 | her pC1 27 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (765s)
t=240.0s  him (-1.40,-0.41)  -2285  her (+1.67,-1.69)  dist 3.33  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (783s)
t=245.0s  him (-1.12,-1.10)  -2254  her (+1.88,-1.19)  dist 3.00  pC1 70 pIP10 10 LC10a 0 | her pC1 30 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (799s)
t=250.0s  him (-1.23,-1.81)  -2216  her (+1.85,-0.44)  dist 3.37  pC1 5 pIP10 2 LC10a 0 | her pC1 4 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (815s)
t=255.0s  him (-0.52,-1.82)  -2185  her (+1.66,+0.28)  dist 3.03  pC1 0 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.15 her 0.15 m/s  (832s)
t=260.0s  him (-0.93,-1.92)  -2327  her (+1.36,+0.96)  dist 3.68  pC1 354 pIP10 1 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.41 her 0.15 m/s  (848s)
t=265.0s  him (-1.92,-1.41)  -2409  her (+0.99,+1.62)  dist 4.20  pC1 387 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.42 her 0.15 m/s  (866s)
t=270.0s  him (-1.49,-0.61)  -2493  her (+0.42,+1.85)  dist 3.12  pC1 75 pIP10 0 LC10a 0 | her pC1 23 vpoEN 0 | contacts 0 songs 0 | pace him 0.19 her 0.15 m/s  (883s)
t=275.0s  him (-0.96,-0.42)  -2513  her (-0.29,+1.71)  dist 2.24  pC1 0 pIP10 1 LC10a 0 | her pC1 4 vpoEN 0 | contacts 0 songs 0 | pace him 0.11 her 0.15 m/s  (901s)
t=280.0s  him (-0.79,-0.89)  -2630  her (-0.99,+1.46)  dist 2.36  pC1 0 pIP10 2 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.14 her 0.15 m/s  (917s)
t=285.0s  him (-1.08,-1.62)  -2595  her (-1.69,+1.19)  dist 2.88  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.16 her 0.15 m/s  (934s)
t=290.0s  him (-1.92,-1.88)  -2720  her (-1.83,+0.65)  dist 2.53  pC1 294 pIP10 0 LC10a 0 | her pC1 21 vpoEN 0 | contacts 0 songs 0 | pace him 0.35 her 0.15 m/s  (951s)
t=295.0s  him (-1.66,-0.78)  -2838  her (-1.54,-0.03)  dist 0.75  pC1 208 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.29 her 0.15 m/s  (969s)
t=300.0s  him (-1.02,-0.46)  -2867  her (-0.88,-0.21)  dist 0.29  pC1 0 pIP10 0 LC10a 0 | her pC1 0 vpoEN 0 | contacts 0 songs 0 | pace him 0.14 her 0.15 m/s  (985s)
wrote world/pair_long2.npz contacts 0, song chunks 0, mean dist 2.54
