s,t,flyvis_syn_per_target,malecns_syn_per_target,strength,sign,ratio
C3,T4b,5.220000267028809,6.153709198813057,0.016404934227466583,-1.0,1.1788714337203874
C3,T4c,4.2063493728637695,3.7877030162412995,0.014868291094899178,-1.0,0.9004727568938367
C3,T4d,7.5,4.1508078994614,0.034441642463207245,-1.0,0.55344105326152
C3,Tm1,16.090909957885742,15.18186936936937,3.2079296943265945e-05,-1.0,0.9435059551699949
C3,Tm2,1.5199999809265137,1.7496947496947497,0.050314631313085556,-1.0,1.15111498134903
C3,Tm4,23.4761905670166,38.99281437125749,3.7145166515983874e-06,-1.0,1.6609515185160115
C3,Tm9,2.4444446563720703,3.727216748768473,0.028755581006407738,-1.0,1.5247703559385273
C3,Tm20,6.80000114440918,6.63337182448037,0.06446027755737305,-1.0,0.9754956923697271
CT1(Lo1),T5a,40.000003814697266,,0.03524148464202881,-1.0,
CT1(Lo1),T5b,34.0,,0.03690521791577339,-1.0,
CT1(Lo1),T5c,40.000003814697266,,0.03135041519999504,-1.0,
CT1(Lo1),T5d,40.0,,0.036406151950359344,-1.0,
CT1(Lo1),Tm1,2.8000001907348633,,3.415103128645569e-05,-1.0,
CT1(Lo1),Tm9,19.67999839782715,,0.019344955682754517,-1.0,
CT1(M10),C3,1.1739128828048706,1.3089622641509433,0.12999628484249115,-1.0,1.1150420813369
CT1(M10),Mi1,7.063830375671387,1.440251572327044,0.21277105808258057,-1.0,0.20389101885677063
CT1(M10),T4a,17.971750259399414,13.789976133651551,0.021472366526722908,-1.0,0.7673140308879626
CT1(M10),T4b,12.125396728515625,12.772294887039239,0.01809871196746826,-1.0,1.0533506798175343
CT1(M10),T4c,14.51948070526123,11.46594778660613,0.01113248523324728,-1.0,0.7896940682218316
CT1(M10),T4d,18.20833396911621,12.043427230046948,2.2287873434834182e-05,-1.0,0.6614238980059474
Mi1,L1,26.28571319580078,18.695039458850058,0.0,1.0,0.7112243567291393
Mi1,L5,4.923077583312988,5.736656891495601,0.0460638552904129,1.0,1.1652582748117315
Mi1,C2,31.6358585357666,24.84584295612009,0.0026375174056738615,1.0,0.785369644007925
Mi1,C3,8.960000038146973,9.231507622811971,0.022057024762034416,1.0,1.0303021856594936
Mi1,CT1(M10),4.319149017333984,2615.0,0.1824454665184021,1.0,605.4433383764382
Mi1,Mi2,21.63333511352539,33.20182555780933,0.015342207625508308,1.0,1.5347529811550507
Mi1,Mi4,11.833333015441895,16.645598194130926,0.09002188593149185,1.0,1.40667030771544
Mi1,Mi9,10.5600004196167,10.086009174311927,0.02584831602871418,1.0,0.9551144671903359
Mi1,Mi10,2.0,2.377431906614786,0.15191766619682312,1.0,1.188715953307393
Mi1,Mi12,1.125,,0.2009245604276657,1.0,
Mi1,Mi13,1.0,1.8378995433789955,0.12621170282363892,1.0,1.8378995433789955
Mi1,Mi14,4.0,4.238636363636363,0.08794049918651581,1.0,1.0596590909090908
Mi1,Mi15,3.875000238418579,11.222802436901654,0.055781155824661255,1.0,2.8962069022947405
Mi1,T2,15.881817817687988,19.382822085889572,0.06093764305114746,1.0,1.220441029382822
Mi1,T2a,22.033334732055664,51.04810261892036,0.02767879329621792,1.0,2.3168577630081546
Mi1,T3,49.94563674926758,53.465463917525774,0.019128192216157913,1.0,1.0704731663734333
Mi1,T4a,68.0,68.38064133016627,0.029660526663064957,1.0,1.0055976666200923
Mi1,T4b,53.0,59.74437869822485,0.029460294172167778,1.0,1.1272524282683933
Mi1,T4c,70.0,62.01068616422947,0.024135300889611244,1.0,0.8858669452032781
Mi1,T4d,59.0,58.39964891749561,3.911055682692677e-05,1.0,0.9898245579236544
Mi1,Tm1,4.42307710647583,2.672865013774105,0.010899096727371216,1.0,0.6042998911008721
Mi1,Tm3,39.560943603515625,61.35491723466407,0.03120335191488266,1.0,1.5508962033254359
Mi1,Tm20,2.200000047683716,3.014455782312925,0.05472944304347038,1.0,1.3702071440801622
Mi1,TmY3,24.991666793823242,51.26820388349515,0.00034042084007523954,1.0,2.051411948888748
Mi1,TmY9,2.392857074737549,,0.10403642058372498,1.0,
Mi1,TmY13,1.3333333730697632,2.054263565891473,0.018227290362119675,1.0,1.5406976285022373
Mi1,TmY14,4.933333396911621,5.982182628062361,0.06305292993783951,1.0,1.2126045711419673
Mi1,TmY15,18.16666603088379,37.760765550239235,0.07913091033697128,1.0,2.0785743232162126
Mi1,TmY18,49.5286979675293,68.6349670811997,0.0401771105825901,1.0,1.3857615866703452
Mi2,Mi1,2.5,7.622381807301017,0.010260666720569134,-1.0,3.048952722920407
Mi2,T2,15.699999809265137,18.50341827221877,0.040342241525650024,-1.0,1.1785616877077434
Mi2,T2a,5.928571701049805,14.27917121046892,0.10313769429922104,-1.0,2.408534792273901
Mi2,T3,7.883333206176758,8.065310492505354,0.1297157257795334,-1.0,1.0230837999066198
Mi2,Tm1,2.200000047683716,9.078225335668417,3.3814860216807574e-05,-1.0,4.126465972228721
Mi2,TmY18,4.5,7.376800606520091,0.001985491719096899,-1.0,1.6392890236711315
Mi3,T2,1.0,,0.05332563444972038,-1.0,
Mi3,Tm5b,2.3333332538604736,,0.0309173334389925,-1.0,
Mi4,L2,5.4285712242126465,1.9275834011391375,0.013366779312491417,-1.0,0.35508116620846436
Mi4,C3,1.2400000095367432,1.379746835443038,0.07272784411907196,-1.0,1.112699052283478
Mi4,Mi1,3.9166667461395264,1.7345679012345678,0.019668295979499817,-1.0,0.4428683913289916
Mi4,Mi4,7.63157844543457,2.3230437903804737,0.03945761173963547,-1.0,0.30439886151863976
Mi4,Mi9,42.5,47.23098591549296,0.010632338002324104,-1.0,1.1113173156586578
Mi4,T1,1.0,1.3730407523510972,0.09909144043922424,-1.0,1.3730407523510972
Mi4,T4a,19.0,13.082590612002377,0.0323345772922039,-1.0,0.6885574006317041
Mi4,T4b,15.854545593261719,14.377962085308058,0.031431134790182114,-1.0,0.9068668667122685
Mi4,T4c,11.66944408416748,12.431306306306306,0.05615868791937828,-1.0,1.0652869336914244
Mi4,T4d,10.916666984558105,10.975409836065573,0.05189543962478638,-1.0,1.005381024408875
Mi4,Tm1,5.521739482879639,2.9247980111870726,3.313590059406124e-05,-1.0,0.5296877949884305
Mi4,Tm2,5.416666030883789,2.457317073170732,0.035763468593358994,-1.0,0.4536585898336792
Mi4,Tm5Y,2.375,7.638731596828992,0.06398066133260727,-1.0,3.216308040770102
Mi4,Tm5a,3.25,12.536585365853659,0.042100291699171066,-1.0,3.8574108818011257
Mi4,Tm5b,1.3333333730697632,13.092130518234166,0.027638575062155724,-1.0,9.819097596043711
Mi4,Tm5c,1.25,2.606896551724138,2.8276157536311075e-05,-1.0,2.08551724137931
Mi4,Tm9,10.666666984558105,18.329757199322415,0.026474712416529655,-1.0,1.718414686223728
Mi4,Tm16,40.27857208251953,153.9520202020202,0.008332704193890095,-1.0,3.8221816773100983
Mi4,Tm20,12.399998664855957,19.064131668558456,3.736311919055879e-05,-1.0,1.5374301388104152
Mi4,Tm28,1.2857142686843872,,0.179927259683609,-1.0,
Mi4,TmY3,39.366668701171875,76.91868932038835,0.017852360382676125,-1.0,1.9539039461090753
Mi4,TmY4,3.3333334922790527,2.4686567164179105,0.06831667572259903,-1.0,0.7405969796109573
Mi4,TmY5a,12.940475463867188,18.19281524926686,0.04328148439526558,-1.0,1.4058846060228178
Mi4,TmY10,16.75,47.2486388384755,0.009380485862493515,-1.0,2.8208142590134626
Mi4,TmY13,35.5,114.58101851851852,0.002777133835479617,-1.0,3.2276343244653103
Mi4,TmY15,7.483333587646484,14.535,0.03984151780605316,-1.0,1.9423161923443362
